text,clique_id,index,v,e
pseudotext_17,45,local,0.07142857142857142,0.004807692307692308
pseudotext_17,46,local,0.07407407407407407,0.0033333333333333335
pseudotext_17,47,local,0.038461538461538464,0.007692307692307693
pseudotext_17,48,local,0.07692307692307693,0
pseudotext_17,49,local,0.05,0
pseudotext_17,50,local,0.05,0
pseudotext_17,51,local,0,0.004166666666666667
pseudotext_17,52,local,0,0
pseudotext_17,53,local,0,0
pseudotext_17,54,local,0,0.00625
pseudotext_17,55,local,0.05263157894736842,0.005847953216374269
pseudotext_17,56,local,0,0
pseudotext_17,57,local,0,0
pseudotext_17,58,local,0,0
pseudotext_17,59,local,0,0
pseudotext_17,60,local,0,0
pseudotext_17,1,pairwise,0.0847457627118644,0.006679135925937345
pseudotext_17,2,pairwise,0.03516949152542373,0.003885821678365063
pseudotext_17,3,pairwise,0.03898305084745762,0.006305266135853612
pseudotext_17,4,pairwise,0.03653483992467043,0.0024098771875098414
pseudotext_17,5,pairwise,0.01002824858757062,0.0033322634496230413
pseudotext_17,6,pairwise,0.006779661016949153,3.3898305084745765e-4
pseudotext_17,7,pairwise,0.04848616543531798,0.002959580354664838
pseudotext_17,8,pairwise,0.007627118644067797,0.0014090774425297174
pseudotext_17,9,pairwise,0.03273938867159206,0.0024969736179286874
pseudotext_17,10,pairwise,0.028483992467043313,0.002596827153584513
pseudotext_17,11,pairwise,0.044561784731276255,0.005454162477253929
pseudotext_17,12,pairwise,0.06196291467477908,0.002636329029640514
pseudotext_17,13,pairwise,0.042760016124054445,0.005031347281751829
pseudotext_17,14,pairwise,0.03857988650177302,0.004389824947933882
pseudotext_17,15,pairwise,0.045897704508177435,0.0019206680072438062
pseudotext_17,16,pairwise,0.05984400789052053,0.00485416085859631
pseudotext_17,17,pairwise,0.04361037113843911,0.001757170044413577
pseudotext_17,18,pairwise,0.049378111208272894,0.0023040806191448526
pseudotext_17,19,pairwise,0.018425797330387905,8.475158483683158e-4
pseudotext_17,20,pairwise,0.046553252451210746,0.003274060161753839
pseudotext_17,21,pairwise,0.012146892655367232,0.0017933901350057344
pseudotext_17,22,pairwise,0.011299435028248588,0.004427456697936924
pseudotext_17,23,pairwise,0,9.607624014403676e-4
pseudotext_17,24,pairwise,0.00833767926988266,0.00719891733351806
pseudotext_17,25,pairwise,0.00423728813559322,0.0013771186440677966
pseudotext_17,26,pairwise,0.023335789732252518,0.0028231820377700306
pseudotext_17,27,pairwise,0.05140259331750077,0.007404323215478245
pseudotext_17,28,pairwise,0.00847457627118644,0.01375581903530666
pseudotext_17,29,pairwise,0.049731218552905666,0.006088125114783114
pseudotext_17,30,pairwise,0.05680681715392799,0.004323537023913621
pseudotext_17,31,pairwise,0.03075099223220078,0.004746771643428754
pseudotext_17,32,pairwise,0.009493981822647999,0.007882144035762415
pseudotext_17,33,pairwise,0.009822804314329739,0.0028941252921362987
pseudotext_17,34,pairwise,0.069948101481653,0.004785921140317977
pseudotext_17,35,pairwise,0.05662029934029154,0.0021163399840095497
pseudotext_17,36,pairwise,0.025961333725541103,0.002097088914261969
pseudotext_17,37,pairwise,0.006890943331621297,0.006112731906663993
pseudotext_17,38,pairwise,0.018199565316367083,0.002852844545502714
pseudotext_17,39,pairwise,0.04040001303525947,0.003919655367683287
pseudotext_17,40,pairwise,0.010798664612223934,0.004994188546504791
pseudotext_17,41,pairwise,0.016403628064298226,0.0022816263859583978
pseudotext_17,42,pairwise,0.05918552597960028,0.004221617511609974
pseudotext_17,43,pairwise,0.015219133364696675,0.005298103870540483
pseudotext_17,44,pairwise,0.03426285092850614,0.002448240991131342
pseudotext_17,45,pairwise,0.037182662921099785,0.0015508212710904088
pseudotext_17,46,pairwise,0.04369053828490735,0.003681515937017787
pseudotext_17,47,pairwise,0.048598145688830155,0.00236303077511757
pseudotext_17,48,pairwise,0.03987128001649654,0.0018681954040024565
pseudotext_17,49,pairwise,0.04821040602327177,0.0014500225694122901
pseudotext_17,50,pairwise,0.012906666909061898,0.0019325476326343875
pseudotext_17,51,pairwise,0.006168815490849389,0.005981802826879011
pseudotext_17,52,pairwise,0.004270917406510626,0.00122155906834765
pseudotext_17,53,pairwise,0.009839924670433145,0.005011358114636594
pseudotext_17,54,pairwise,0.048820929707671656,0.004724452877196355
pseudotext_17,55,pairwise,0.0446554725147836,0.002175598219913786
pseudotext_17,56,pairwise,0.006567796610169492,0.0017392212307466544
pseudotext_17,57,pairwise,0.0399641273350352,0.0012136557222725112
pseudotext_17,58,pairwise,0.006567796610169492,0
pseudotext_17,59,pairwise,0.005211721737145466,0.0017239755133217603
pseudotext_17,60,pairwise,0.03821571096797477,0.006539476504889572
